日期 累计病例 确诊病例 疑是病例 治愈病例
2.20 75993 55475 5206 18279
2.21 76392 53371 5365 20673
2.22 77041 51689 4148 22907
2.23 77262 49910 3434 24757
2.24 77779 47760 2824 27353
2.25 78190 45697 2491 29775
2.26 78630 43352 2358 32531
2.27 78959 40011 2308 36157
2.28 79389 37502 1418 39049
2.29 79968 35420 851 41675
3.01 80174 32741 715 44518
3.02 80302 30096 587 47260
3.03 80422 27524 520 49914
3.04 80565 25441 522 52109
3.05 80710 23872 482 53793
3.06 80813 22263 502 55477
3.07 80859 20616 458 57143
3.08 80904 19097 421 58684
3.09 80924 17802 349 59982
3.10 80955 16226 285 61567
3.11 80980 14920 253 62887
3.12 81003 13607 147 64216
3.13 81021 12178 34 65649
3.14 81048 10822 113 67022
3.15 81077 9996 134 68763
3.16 81116 9086 128 68799
3.17 81151 8184 119 69725
3.18 81235 7438 105 70547
3.19 81300 6763 104 71284
